nama_kabupaten_kota,nama_stasiun,lat,lon
KABUPATEN BOGOR,BOJONGGEDE,-6.4932345,106.795025
KABUPATEN BOGOR,CIBINONG,-6.4640763,106.8525898
KABUPATEN BOGOR,CIGOMBONG,-6.7422491,106.8029383
KABUPATEN BOGOR,CILEBUT,-6.5307239,106.8006884
KABUPATEN BOGOR,CILEJIT,-6.354368,106.509581
KABUPATEN BOGOR,MASENG,-6.7027797,106.8145685
KABUPATEN BOGOR,NAMBO,-6.4664486,106.9063763
KABUPATEN BOGOR,PARUNG PANJANG,-6.34427345,106.56997420896107
KABUPATEN BOGOR,TENJO,-6.3273371,106.4617065
KABUPATEN SUKABUMI,CIBADAK,-6.888333,106.780444
KABUPATEN SUKABUMI,CICURUG,-6.7904416,106.77952602448133
KABUPATEN SUKABUMI,CIJAMBE,-6.817655,106.76006
KABUPATEN SUKABUMI,CIREUNGAS,-6.959444,107.041111
KABUPATEN SUKABUMI,CISAAT,-6.9141084,106.8874829
KABUPATEN SUKABUMI,GANDASOLI,-6.940833,106.991944
KABUPATEN SUKABUMI,KARANG TENGAH,-6.895,106.818889
KABUPATEN SUKABUMI,PARUNG KUDA,-6.846555,106.760555
KABUPATEN CIANJUR,CIANJUR,-6.82477,107.1428
KABUPATEN CIANJUR,CIBEBER,-6.9375,107.1212
KABUPATEN CIANJUR,CILAKU,-6.8879528,107.1263513
KABUPATEN CIANJUR,CIPEUYEUM,-6.81848,107.2982
KABUPATEN CIANJUR,CIRANJANG,-6.81409,107.2512
KABUPATEN CIANJUR,LAMPEGAN,-6.94989,107.0616
KABUPATEN CIANJUR,SALAJAMBE,-6.813555,107.222679
KABUPATEN BANDUNG,BANJARAN (KE SRG),-7.046338,107.586756
KABUPATEN BANDUNG,CICALENGKA,-6.98151035,107.83286633428952
KABUPATEN BANDUNG,CIMEKAR,-6.9482861,107.7099396
KABUPATEN BANDUNG,CIWIDEY,-7.10140455,107.46550144038457
KABUPATEN BANDUNG,DAYEUHKOLOT,-6.9225,107.629444
KABUPATEN BANDUNG,HAURPUGUR,-6.98053045,107.7991365032589
KABUPATEN BANDUNG,LEBAKJERO,-7.053666,107.893888
KABUPATEN BANDUNG,NAGREG,-7.0182956,107.88616682883827
KABUPATEN BANDUNG,RANCAEKEK,-6.9641498,107.7541722
KABUPATEN BANDUNG,SOREANG (BD),-7.026497,107.520122
