"nama_kabupaten_kota","stasiun_aktif","pengunjung","pdrb_adhk_per_kapita","kepadatan_penduduk"
KABUPATEN BOGOR,9,6455954,29072,1965
KABUPATEN CIREBON,8,451934,14897,2402
KABUPATEN BANDUNG BARAT,8,2565609,17474,1364
KABUPATEN SUKABUMI,7,1440188,17359,653
KABUPATEN CIANJUR,7,1718520,13124,635
KABUPATEN INDRAMAYU,7,433095,32162,924
KABUPATEN SUBANG,7,4317302,18004,843
KABUPATEN PURWAKARTA,7,802901,46309,1213
KOTA BANDUNG,7,2665021,81704,15076
KABUPATEN BANDUNG,6,2102431,22898,2055
KABUPATEN GARUT,6,379624,15349,855
KABUPATEN KARAWANG,5,2323538,67627,1457
KABUPATEN BEKASI,5,4745882,79728,2468
KOTA DEPOK,5,1841645,23945,9453
KABUPATEN TASIKMALAYA,4,597776,13367,731
KOTA TASIKMALAYA,3,354467,22075,4263
KOTA BANJAR,3,51982,16544,1570
KABUPATEN CIAMIS,2,757435,18401,893
KOTA BOGOR,2,3734340,31712,9210
KOTA CIREBON,2,1350749,50928,9199
KOTA BEKASI,2,692477,27212,11947
KOTA SUKABUMI,1,258242,25231,7329
KOTA CIMAHI,1,45859,40718,14279
