id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status,jumlah_stasiun,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,OPERASI,9,UNIT,2021
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,REAKTIVASI,0,UNIT,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK OPERASI,0,UNIT,2021
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,OPERASI,7,UNIT,2021
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,REAKTIVASI,0,UNIT,2021
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK OPERASI,1,UNIT,2021
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,OPERASI,7,UNIT,2021
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,REAKTIVASI,0,UNIT,2021
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK OPERASI,0,UNIT,2021
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,OPERASI,6,UNIT,2021
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,REAKTIVASI,0,UNIT,2021
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK OPERASI,4,UNIT,2021
13,32,JAWA BARAT,3205,KABUPATEN GARUT,OPERASI,6,UNIT,2021
14,32,JAWA BARAT,3205,KABUPATEN GARUT,REAKTIVASI,3,UNIT,2021
15,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK OPERASI,3,UNIT,2021
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,OPERASI,4,UNIT,2021
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,REAKTIVASI,0,UNIT,2021
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK OPERASI,0,UNIT,2021
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,OPERASI,2,UNIT,2021
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,REAKTIVASI,0,UNIT,2021
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK OPERASI,1,UNIT,2021
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,OPERASI,0,UNIT,2021
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,REAKTIVASI,0,UNIT,2021
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK OPERASI,0,UNIT,2021
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,OPERASI,8,UNIT,2021
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,REAKTIVASI,0,UNIT,2021
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK OPERASI,4,UNIT,2021
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,OPERASI,0,UNIT,2021
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,REAKTIVASI,0,UNIT,2021
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK OPERASI,2,UNIT,2021
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,OPERASI,0,UNIT,2021
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,REAKTIVASI,0,UNIT,2021
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK OPERASI,0,UNIT,2021
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,OPERASI,7,UNIT,2021
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,REAKTIVASI,0,UNIT,2021
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK OPERASI,1,UNIT,2021
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,OPERASI,7,UNIT,2021
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,REAKTIVASI,0,UNIT,2021
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK OPERASI,0,UNIT,2021
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,OPERASI,7,UNIT,2021
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,REAKTIVASI,0,UNIT,2021
